langpair	system	metric	segmenter	manual	realigned	delta
en-es	ONLINE-G	chrfpp	none	66.0250	65.7436	-0.2814
en-es	ONLINE-G	bleu	flores200	47.3588	47.3340	-0.0248
en-es	ONLINE-G	chrfpp	flores200	66.0250	65.9725	-0.0525
en-es	ONLINE-G	bleu	spm32k	47.3588	47.3440	-0.0148
en-es	ONLINE-G	chrfpp	spm32k	66.0250	65.9870	-0.0380
en-es	ONLINE-G	bleu	spm64k	47.3588	47.3496	-0.0092
en-es	ONLINE-G	chrfpp	spm64k	66.0250	65.9851	-0.0399
en-es	ONLINE-G	bleu	spm128k	47.3588	47.3450	-0.0138
en-es	ONLINE-G	chrfpp	spm128k	66.0250	65.9916	-0.0334
en-es	ONLINE-G	bleu	spm256k	47.3588	47.3353	-0.0235
en-es	ONLINE-G	chrfpp	spm256k	66.0250	65.9844	-0.0407
en-es	Gemini-1.5-Pro	bleu	none	45.4990	45.2287	-0.2703
en-es	Gemini-1.5-Pro	chrfpp	none	66.1886	65.9199	-0.2688
en-es	Gemini-1.5-Pro	bleu	flores200	45.4990	45.4913	-0.0076
en-es	Gemini-1.5-Pro	chrfpp	flores200	66.1886	66.1329	-0.0558
en-es	Gemini-1.5-Pro	bleu	spm32k	45.4990	45.4846	-0.0144
en-es	Gemini-1.5-Pro	chrfpp	spm32k	66.1886	66.1488	-0.0398
en-es	Gemini-1.5-Pro	bleu	spm64k	45.4990	45.4777	-0.0213
en-es	Gemini-1.5-Pro	chrfpp	spm64k	66.1886	66.1343	-0.0543
en-es	Gemini-1.5-Pro	bleu	spm128k	45.4990	45.4865	-0.0125
en-es	Gemini-1.5-Pro	chrfpp	spm128k	66.1886	66.1349	-0.0537
en-es	Gemini-1.5-Pro	bleu	spm256k	45.4990	45.4804	-0.0186
en-es	Gemini-1.5-Pro	chrfpp	spm256k	66.1886	66.1286	-0.0601
en-es	Mistral-Large	bleu	none	46.6105	46.4593	-0.1512
en-es	Mistral-Large	chrfpp	none	65.2254	65.0715	-0.1539
en-es	Mistral-Large	bleu	flores200	46.6105	46.5987	-0.0119
en-es	Mistral-Large	chrfpp	flores200	65.2254	65.1809	-0.0446
en-es	Mistral-Large	bleu	spm32k	46.6105	46.6058	-0.0047
en-es	Mistral-Large	chrfpp	spm32k	65.2254	65.2110	-0.0144
en-es	Mistral-Large	bleu	spm64k	46.6105	46.6017	-0.0089
en-es	Mistral-Large	chrfpp	spm64k	65.2254	65.1949	-0.0306
en-es	Mistral-Large	bleu	spm128k	46.6105	46.5981	-0.0124
en-es	Mistral-Large	chrfpp	spm128k	65.2254	65.1967	-0.0287
en-es	Mistral-Large	bleu	spm256k	46.6105	46.5966	-0.0140
en-es	Mistral-Large	chrfpp	spm256k	65.2254	65.1941	-0.0313
en-es	Claude-3.5	bleu	none	49.3965	49.3063	-0.0903
en-es	Claude-3.5	chrfpp	none	66.6131	66.5068	-0.1063
en-es	Claude-3.5	bleu	flores200	49.3965	49.3680	-0.0286
en-es	Claude-3.5	chrfpp	flores200	66.6131	66.5642	-0.0489
en-es	Claude-3.5	bleu	spm32k	49.3965	49.3765	-0.0201
en-es	Claude-3.5	chrfpp	spm32k	66.6131	66.5927	-0.0204
en-es	Claude-3.5	bleu	spm64k	49.3965	49.3752	-0.0214
en-es	Claude-3.5	chrfpp	spm64k	66.6131	66.5805	-0.0327
en-es	Claude-3.5	bleu	spm128k	49.3965	49.3685	-0.0281
en-es	Claude-3.5	chrfpp	spm128k	66.6131	66.5831	-0.0300
en-es	Claude-3.5	bleu	spm256k	49.3965	49.3583	-0.0382
en-es	Claude-3.5	chrfpp	spm256k	66.6131	66.5828	-0.0303
en-es	GPT-4	bleu	none	49.1541	49.0838	-0.0703
en-es	GPT-4	chrfpp	none	66.9541	66.8257	-0.1284
en-es	GPT-4	bleu	flores200	49.1541	49.1306	-0.0235
en-es	GPT-4	chrfpp	flores200	66.9541	66.8896	-0.0645
en-es	GPT-4	bleu	spm32k	49.1541	49.1393	-0.0148
en-es	GPT-4	chrfpp	spm32k	66.9541	66.9175	-0.0366
en-es	GPT-4	bleu	spm64k	49.1541	49.1334	-0.0207
en-es	GPT-4	chrfpp	spm64k	66.9541	66.8990	-0.0550
en-es	GPT-4	bleu	spm128k	49.1541	49.1308	-0.0234
en-es	GPT-4	chrfpp	spm128k	66.9541	66.9024	-0.0517
en-es	GPT-4	bleu	spm256k	49.1541	49.1199	-0.0342
en-es	GPT-4	chrfpp	spm256k	66.9541	66.8885	-0.0656
en-es	Phi-3-Medium	bleu	none	42.3699	42.2768	-0.0931
