langpair	system	metric	segmenter	manual	realigned	delta
en-is	GPT-4	chrfpp	spm32k	42.7929	42.7169	-0.0760
en-is	GPT-4	bleu	spm64k	23.3611	23.3084	-0.0527
en-is	GPT-4	chrfpp	spm64k	42.7929	42.7253	-0.0676
en-is	GPT-4	bleu	spm128k	23.3611	23.3133	-0.0478
en-is	GPT-4	chrfpp	spm128k	42.7929	42.7290	-0.0640
en-is	GPT-4	bleu	spm256k	23.3611	23.3185	-0.0426
en-is	GPT-4	chrfpp	spm256k	42.7929	42.7258	-0.0671
en-is	Phi-3-Medium	bleu	none	7.5804	6.7847	-0.7957
en-is	Phi-3-Medium	chrfpp	none	26.0654	25.3070	-0.7584
en-is	Phi-3-Medium	bleu	flores200	7.5804	6.9271	-0.6533
en-is	Phi-3-Medium	chrfpp	flores200	26.0654	25.2722	-0.7932
en-is	Phi-3-Medium	bleu	spm32k	7.5804	7.0650	-0.5154
en-is	Phi-3-Medium	chrfpp	spm32k	26.0654	25.5254	-0.5400
en-is	Phi-3-Medium	bleu	spm64k	7.5804	7.0203	-0.5600
en-is	Phi-3-Medium	chrfpp	spm64k	26.0654	25.4563	-0.6091
en-is	Phi-3-Medium	bleu	spm128k	7.5804	6.9250	-0.6554
en-is	Phi-3-Medium	chrfpp	spm128k	26.0654	25.2684	-0.7970
en-is	Phi-3-Medium	bleu	spm256k	7.5804	6.9287	-0.6517
en-is	Phi-3-Medium	chrfpp	spm256k	26.0654	25.2654	-0.8000
