variant	variant_label	langpair	system	segmenter	ok	n_segments	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy_none	legacy (none)	en-ja	Team-J	none	1	997	1372	1.376	4	736	678474	0.242
legacy_none	legacy (none)	en-ja	Unbabel-Tower70B	none	1	997	1344	1.348	4	755	689250	0.238
legacy_none	legacy (none)	en-ja	UvA-MT	none	1	997	4968	4.983	4	1838	6953960	0.286
legacy_none	legacy (none)	en-ja	Aya23	none	1	997	1430	1.434	4	742	709994	0.231
legacy_none	legacy (none)	en-ja	CommandR-plus	none	1	997	1491	1.495	4	771	767735	0.236
legacy_none	legacy (none)	en-ja	ONLINE-W	none	1	997	1289	1.293	4	680	587373	0.228
legacy_none	legacy (none)	en-ja	ONLINE-B	none	1	997	2050	2.056	4	1066	1473802	0.248
legacy_none	legacy (none)	en-ja	Llama3-70B	none	1	997	1498	1.503	4	902	934012	0.237
legacy_none	legacy (none)	en-ja	ONLINE-A	none	1	997	1332	1.336	4	742	670602	0.33
legacy_none	legacy (none)	en-ja	ONLINE-G	none	1	997	2494	2.502	4	800	1649630	0.253
legacy_none	legacy (none)	en-ja	Gemini-1.5-Pro	none	1	997	2713	2.721	4	1623	3151623	0.26
legacy_none	legacy (none)	en-ja	Mistral-Large	none	1	997	1409	1.413	4	782	744975	0.231
legacy_none	legacy (none)	en-ja	Claude-3.5	none	1	997	2077	2.083	4	1041	1477481	0.238
legacy_none	legacy (none)	en-ja	GPT-4	none	1	997	1342	1.346	4	723	650862	0.233
legacy_none	legacy (none)	en-ja	Phi-3-Medium	none	1	997	1277	1.281	4	715	618759	0.228
legacy_none	legacy (none)	en-ru	CUNI-DS	none	1	997	27631	27.714	4	7863	192239321	2.051
legacy_none	legacy (none)	en-ru	CycleL	none	1	997	28267	28.352	4	8464	202441803	2.062
legacy_none	legacy (none)	en-ru	CycleL2	none	1	997	25872	25.95	4	9053	176589770	1.757
