label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm128k	en-ja	Phi-3-Medium	spm128k	1	993	982	997	975	1277	1.281	4	715	618759	5.699
spm128k	en-ru	CUNI-DS	spm128k	1	993	717	997	552	27631	27.714	4	7863	192239321	5.837
spm128k	en-ru	CycleL	spm128k	1	993	316	997	127	28267	28.352	4	8464	202441803	6.489
spm128k	en-ru	CycleL2	spm128k	1	993	201	997	67	25872	25.95	4	9053	176589770	6.085
spm128k	en-ru	Dubformer	spm128k	1	993	866	997	781	27491	27.574	4	7324	189369107	5.834
spm128k	en-ru	IKUN	spm128k	1	993	827	997	704	28193	28.278	4	7436	199076805	5.801
spm128k	en-ru	IKUN-C	spm128k	1	993	831	997	711	28096	28.181	4	7431	197693734	5.933
spm128k	en-ru	IOL-Research	spm128k	1	993	859	997	757	28528	28.614	4	7544	203847040	5.847
spm128k	en-ru	NVIDIA-NeMo	spm128k	1	993	776	997	628	29058	29.145	4	7945	211775148	5.807
spm128k	en-ru	TranssionMT	spm128k	1	993	877	997	786	28540	28.626	4	7514	203980638	5.952
spm128k	en-ru	TSU-HITs	spm128k	1	993	614	997	416	20091	20.151	4	5449	101460475	4.655
spm128k	en-ru	Unbabel-Tower70B	spm128k	1	993	850	997	744	29016	29.103	4	7825	211139866	5.975
spm128k	en-ru	Yandex	spm128k	1	993	824	997	699	29251	29.339	4	7892	214549665	6.02
spm128k	en-ru	Aya23	spm128k	1	993	841	997	726	28881	28.968	4	7539	208837907	5.912
spm128k	en-ru	CommandR-plus	spm128k	1	993	855	997	747	29018	29.105	4	7668	210994770	6.0
spm128k	en-ru	ONLINE-W	spm128k	1	993	855	997	755	28346	28.431	4	7490	201328114	5.919
spm128k	en-ru	ONLINE-B	spm128k	1	993	877	997	788	28545	28.631	4	7526	204056689	5.996
spm128k	en-ru	Llama3-70B	spm128k	1	993	860	997	751	28756	28.843	4	7686	207167122	6.056
spm128k	en-ru	ONLINE-A	spm128k	1	993	852	997	738	29172	29.26	4	7667	213110046	6.112
spm128k	en-ru	ONLINE-G	spm128k	1	993	828	997	708	29497	29.586	4	7868	218036433	6.11
spm128k	en-ru	Gemini-1.5-Pro	spm128k	1	993	837	997	721	30331	30.422	4	9237	233939803	6.386
spm128k	en-ru	Mistral-Large	spm128k	1	993	848	997	737	29530	29.619	4	8100	218788882	6.142
spm128k	en-ru	Claude-3.5	spm128k	1	993	871	997	775	29095	29.183	4	7974	212490117	6.087
spm128k	en-ru	GPT-4	spm128k	1	993	862	997	761	28477	28.563	4	7628	203219793	6.007
spm128k	en-ru	Phi-3-Medium	spm128k	1	993	815	997	679	28480	28.566	4	7567	203147178	6.019
spm128k	en-uk	CycleL	spm128k	1	993	346	997	154	25983	26.061	4	8003	171931435	7.546
spm128k	en-uk	Dubformer	spm128k	1	993	876	997	781	27477	27.56	4	7282	189091849	7.102
spm128k	en-uk	IKUN	spm128k	1	993	859	997	759	27608	27.691	4	7305	190954436	6.899
spm128k	en-uk	IKUN-C	spm128k	1	993	889	997	802	27453	27.536	4	7227	188651835	6.804
