label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy	en-ja	Llama3-70B	none	1	993	74	997	4	1498	1.503	4	902	934012	0.237
legacy	en-ja	ONLINE-A	none	1	993	69	997	9	1332	1.336	4	742	670602	0.33
legacy	en-ja	ONLINE-G	none	1	993	35	997	0	2494	2.502	4	800	1649630	0.253
legacy	en-ja	Gemini-1.5-Pro	none	1	993	71	997	14	2713	2.721	4	1623	3151623	0.26
legacy	en-ja	Mistral-Large	none	1	993	76	997	12	1409	1.413	4	782	744975	0.231
legacy	en-ja	Claude-3.5	none	1	993	23	997	11	2077	2.083	4	1041	1477481	0.238
legacy	en-ja	GPT-4	none	1	993	77	997	20	1342	1.346	4	723	650862	0.233
legacy	en-ja	Phi-3-Medium	none	1	993	79	997	22	1277	1.281	4	715	618759	0.228
legacy	en-ru	CUNI-DS	none	1	993	21	997	0	27631	27.714	4	7863	192239321	2.051
legacy	en-ru	CycleL	none	1	993	0	997	0	28267	28.352	4	8464	202441803	2.062
legacy	en-ru	CycleL2	none	1	993	0	997	0	25872	25.95	4	9053	176589770	1.757
legacy	en-ru	Dubformer	none	1	993	1	997	0	27491	27.574	4	7324	189369107	1.811
legacy	en-ru	IKUN	none	1	993	1	997	0	28193	28.278	4	7436	199076805	1.945
legacy	en-ru	IKUN-C	none	1	993	1	997	0	28096	28.181	4	7431	197693734	1.903
legacy	en-ru	IOL-Research	none	1	993	2	997	0	28528	28.614	4	7544	203847040	1.915
legacy	en-ru	NVIDIA-NeMo	none	1	993	1	997	0	29058	29.145	4	7945	211775148	1.918
legacy	en-ru	TranssionMT	none	1	993	15	997	2	28540	28.626	4	7514	203980638	1.906
legacy	en-ru	TSU-HITs	none	1	993	3	997	2	20091	20.151	4	5449	101460475	1.455
legacy	en-ru	Unbabel-Tower70B	none	1	993	6	997	0	29016	29.103	4	7825	211139866	1.95
legacy	en-ru	Yandex	none	1	993	38	997	11	29251	29.339	4	7892	214549665	1.914
legacy	en-ru	Aya23	none	1	993	16	997	3	28881	28.968	4	7539	208837907	1.909
legacy	en-ru	CommandR-plus	none	1	993	26	997	5	29018	29.105	4	7668	210994770	1.945
legacy	en-ru	ONLINE-W	none	1	993	0	997	0	28346	28.431	4	7490	201328114	1.791
legacy	en-ru	ONLINE-B	none	1	993	15	997	2	28545	28.631	4	7526	204056689	1.901
legacy	en-ru	Llama3-70B	none	1	993	2	997	1	28756	28.843	4	7686	207167122	1.827
legacy	en-ru	ONLINE-A	none	1	993	59	997	18	29172	29.26	4	7667	213110046	1.899
legacy	en-ru	ONLINE-G	none	1	993	40	997	12	29497	29.586	4	7868	218036433	1.886
legacy	en-ru	Gemini-1.5-Pro	none	1	993	62	997	20	30331	30.422	4	9237	233939803	2.061
legacy	en-ru	Mistral-Large	none	1	993	1	997	1	29530	29.619	4	8100	218788882	1.879
legacy	en-ru	Claude-3.5	none	1	993	1	997	0	29095	29.183	4	7974	212490117	1.887
legacy	en-ru	GPT-4	none	1	993	1	997	0	28477	28.563	4	7628	203219793	1.821
legacy	en-ru	Phi-3-Medium	none	1	993	2	997	2	28480	28.566	4	7567	203147178	1.84
legacy	en-uk	CycleL	none	1	993	0	997	0	25983	26.061	4	8003	171931435	1.866
legacy	en-uk	Dubformer	none	1	993	1	997	0	27477	27.56	4	7282	189091849	1.716
legacy	en-uk	IKUN	none	1	993	2	997	0	27608	27.691	4	7305	190954436	1.836
legacy	en-uk	IKUN-C	none	1	993	3	997	0	27453	27.536	4	7227	188651835	1.826
legacy	en-uk	IOL-Research	none	1	993	1	997	0	27911	27.995	4	7321	195055091	1.828
legacy	en-uk	NVIDIA-NeMo	none	1	993	23	997	0	28640	28.726	4	7814	205690038	1.79
legacy	en-uk	TranssionMT	none	1	993	28	997	5	28685	28.771	4	7573	206031355	1.856
legacy	en-uk	Unbabel-Tower70B	none	1	993	13	997	0	28394	28.479	4	7667	202188940	1.985
legacy	en-uk	Aya23	none	1	993	4	997	2	28269	28.354	4	7429	200083947	1.895
legacy	en-uk	CommandR-plus	none	1	993	14	997	1	28149	28.234	4	7468	198512547	1.918
legacy	en-uk	ONLINE-W	none	1	993	0	997	0	28090	28.175	4	7374	197612582	1.8
legacy	en-uk	ONLINE-B	none	1	993	8	997	0	27710	27.793	4	7250	192224302	1.857
legacy	en-uk	Llama3-70B	none	1	993	2	997	0	28434	28.52	4	7565	202505334	1.826
legacy	en-uk	ONLINE-A	none	1	993	52	997	12	28455	28.541	4	7466	202683261	1.873
legacy	en-uk	ONLINE-G	none	1	993	3	997	0	28938	29.025	4	7714	209853482	1.826
legacy	en-uk	Gemini-1.5-Pro	none	1	993	54	997	14	30461	30.553	4	9331	236053955	2.039
legacy	en-uk	Mistral-Large	none	1	993	1	997	1	28365	28.45	4	7650	201670781	1.811
legacy	en-uk	Claude-3.5	none	1	993	1	997	0	28275	28.36	4	7635	200449331	1.811
legacy	en-uk	GPT-4	none	1	993	1	997	0	28340	28.425	4	7520	201166234	1.799
legacy	en-uk	Phi-3-Medium	none	1	993	1	997	8	30628	30.72	4	8068	234831024	1.957
legacy	en-zh	CycleL	none	1	993	2	997	0	4159	4.172	4	1462	4606813	0.366
legacy	en-zh	CycleL2	none	1	993	10	997	0	6974	6.995	4	2477	13391788	0.29
legacy	en-zh	HW-TSC	none	1	993	130	997	3	1946	1.952	4	892	1195990	0.226
legacy	en-zh	IKUN	none	1	993	152	997	7	1377	1.381	4	741	685449	0.204
legacy	en-zh	IKUN-C	none	1	993	76	997	8	1401	1.405	4	746	702999	0.205
legacy	en-zh	IOL-Research	none	1	993	148	997	2	1291	1.295	4	713	620789	0.211
legacy	en-zh	NVIDIA-NeMo	none	1	993	82	997	3	3642	3.653	4	1812	4577450	0.27
legacy	en-zh	Unbabel-Tower70B	none	1	993	138	997	3	1902	1.908	4	997	1277498	0.215
legacy	en-zh	UvA-MT	none	1	993	3	997	0	6841	6.862	4	2394	12346543	0.291
legacy	en-zh	Aya23	none	1	993	116	997	5	1532	1.537	4	773	791554	0.213
legacy	en-zh	CommandR-plus	none	1	993	116	997	3	1885	1.891	4	902	1139655	0.214
legacy	en-zh	ONLINE-W	none	1	993	6	997	5	2534	2.542	4	1052	1897470	0.217
legacy	en-zh	ONLINE-B	none	1	993	125	997	3	2404	2.411	4	1040	1777986	0.222
legacy	en-zh	Llama3-70B	none	1	993	137	997	6	1471	1.475	4	832	830515	0.209
legacy	en-zh	ONLINE-A	none	1	993	137	997	3	1929	1.935	4	961	1241387	0.219
legacy	en-zh	ONLINE-G	none	1	993	5	997	0	2480	2.487	4	799	1628962	0.219
