langpair	system	metric	segmenter	manual	realigned	delta
en-cs	Aya23	chrfpp	spm256k	51.2102	51.1027	-0.1075
en-cs	CommandR-plus	bleu	none	35.6124	35.4722	-0.1403
en-cs	CommandR-plus	chrfpp	none	52.6398	52.4172	-0.2226
en-cs	CommandR-plus	bleu	flores200	35.6124	35.5531	-0.0594
en-cs	CommandR-plus	chrfpp	flores200	52.6398	52.5582	-0.0816
en-cs	CommandR-plus	bleu	spm32k	35.6124	35.5435	-0.0689
en-cs	CommandR-plus	chrfpp	spm32k	52.6398	52.5377	-0.1021
en-cs	CommandR-plus	bleu	spm64k	35.6124	35.5277	-0.0848
en-cs	CommandR-plus	chrfpp	spm64k	52.6398	52.5278	-0.1120
en-cs	CommandR-plus	bleu	spm128k	35.6124	35.5425	-0.0700
en-cs	CommandR-plus	chrfpp	spm128k	52.6398	52.5339	-0.1059
en-cs	CommandR-plus	bleu	spm256k	35.6124	35.5523	-0.0601
en-cs	CommandR-plus	chrfpp	spm256k	52.6398	52.5385	-0.1012
en-cs	ONLINE-W	bleu	none	40.7238	40.4909	-0.2329
en-cs	ONLINE-W	chrfpp	none	56.7674	56.5052	-0.2622
en-cs	ONLINE-W	bleu	flores200	40.7238	40.6371	-0.0868
en-cs	ONLINE-W	chrfpp	flores200	56.7674	56.6648	-0.1026
en-cs	ONLINE-W	bleu	spm32k	40.7238	40.6522	-0.0717
en-cs	ONLINE-W	chrfpp	spm32k	56.7674	56.6712	-0.0962
en-cs	ONLINE-W	bleu	spm64k	40.7238	40.6415	-0.0824
en-cs	ONLINE-W	chrfpp	spm64k	56.7674	56.6747	-0.0927
en-cs	ONLINE-W	bleu	spm128k	40.7238	40.6506	-0.0732
en-cs	ONLINE-W	chrfpp	spm128k	56.7674	56.6717	-0.0956
en-cs	ONLINE-W	bleu	spm256k	40.7238	40.6570	-0.0668
en-cs	ONLINE-W	chrfpp	spm256k	56.7674	56.6711	-0.0962
en-cs	ONLINE-B	bleu	none	38.7199	38.5671	-0.1528
en-cs	ONLINE-B	chrfpp	none	55.2263	55.0132	-0.2131
en-cs	ONLINE-B	bleu	flores200	38.7199	38.6566	-0.0633
en-cs	ONLINE-B	chrfpp	flores200	55.2263	55.1278	-0.0985
en-cs	ONLINE-B	bleu	spm32k	38.7199	38.6578	-0.0621
en-cs	ONLINE-B	chrfpp	spm32k	55.2263	55.1240	-0.1023
en-cs	ONLINE-B	bleu	spm64k	38.7199	38.6533	-0.0666
en-cs	ONLINE-B	chrfpp	spm64k	55.2263	55.1298	-0.0965
en-cs	ONLINE-B	bleu	spm128k	38.7199	38.6646	-0.0553
en-cs	ONLINE-B	chrfpp	spm128k	55.2263	55.1407	-0.0855
en-cs	ONLINE-B	bleu	spm256k	38.7199	38.6550	-0.0649
en-cs	ONLINE-B	chrfpp	spm256k	55.2263	55.1284	-0.0979
en-cs	Llama3-70B	bleu	none	31.7808	31.5750	-0.2058
en-cs	Llama3-70B	chrfpp	none	50.1714	49.8822	-0.2892
en-cs	Llama3-70B	bleu	flores200	31.7808	31.7161	-0.0647
en-cs	Llama3-70B	chrfpp	flores200	50.1714	50.0803	-0.0911
en-cs	Llama3-70B	bleu	spm32k	31.7808	31.7197	-0.0610
en-cs	Llama3-70B	chrfpp	spm32k	50.1714	50.0668	-0.1046
en-cs	Llama3-70B	bleu	spm64k	31.7808	31.7027	-0.0781
en-cs	Llama3-70B	chrfpp	spm64k	50.1714	50.0515	-0.1199
en-cs	Llama3-70B	bleu	spm128k	31.7808	31.7250	-0.0558
en-cs	Llama3-70B	chrfpp	spm128k	50.1714	50.0686	-0.1028
en-cs	Llama3-70B	bleu	spm256k	31.7808	31.7285	-0.0523
en-cs	Llama3-70B	chrfpp	spm256k	50.1714	50.0898	-0.0816
en-cs	ONLINE-A	bleu	none	39.7221	39.5600	-0.1621
en-cs	ONLINE-A	chrfpp	none	56.1307	55.9034	-0.2273
en-cs	ONLINE-A	bleu	flores200	39.7221	39.6255	-0.0967
en-cs	ONLINE-A	chrfpp	flores200	56.1307	56.0162	-0.1145
en-cs	ONLINE-A	bleu	spm32k	39.7221	39.6437	-0.0784
en-cs	ONLINE-A	chrfpp	spm32k	56.1307	56.0211	-0.1096
en-cs	ONLINE-A	bleu	spm64k	39.7221	39.6074	-0.1147
en-cs	ONLINE-A	chrfpp	spm64k	56.1307	56.0110	-0.1197
en-cs	ONLINE-A	bleu	spm128k	39.7221	39.6432	-0.0789
en-cs	ONLINE-A	chrfpp	spm128k	56.1307	56.0165	-0.1142
en-cs	ONLINE-A	bleu	spm256k	39.7221	39.6429	-0.0792
en-cs	ONLINE-A	chrfpp	spm256k	56.1307	56.0281	-0.1026
en-cs	ONLINE-G	bleu	none	34.2249	33.9817	-0.2431
en-cs	ONLINE-G	chrfpp	none	52.3551	51.9805	-0.3746
en-cs	ONLINE-G	bleu	flores200	34.2249	34.1366	-0.0883
en-cs	ONLINE-G	chrfpp	flores200	52.3551	52.2471	-0.1080
en-cs	ONLINE-G	bleu	spm32k	34.2249	34.1711	-0.0538
en-cs	ONLINE-G	chrfpp	spm32k	52.3551	52.2763	-0.0788
en-cs	ONLINE-G	bleu	spm64k	34.2249	34.1396	-0.0853
en-cs	ONLINE-G	chrfpp	spm64k	52.3551	52.2475	-0.1076
en-cs	ONLINE-G	bleu	spm128k	34.2249	34.1461	-0.0787
en-cs	ONLINE-G	chrfpp	spm128k	52.3551	52.2455	-0.1096
en-cs	ONLINE-G	bleu	spm256k	34.2249	34.1553	-0.0695
en-cs	ONLINE-G	chrfpp	spm256k	52.3551	52.2697	-0.0854
en-cs	Gemini-1.5-Pro	bleu	none	35.5170	35.2977	-0.2192
en-cs	Gemini-1.5-Pro	chrfpp	none	54.0661	53.7627	-0.3035
en-cs	Gemini-1.5-Pro	bleu	flores200	35.5170	35.4731	-0.0439
en-cs	Gemini-1.5-Pro	chrfpp	flores200	54.0661	54.0254	-0.0407
en-cs	Gemini-1.5-Pro	bleu	spm32k	35.5170	35.4503	-0.0667
en-cs	Gemini-1.5-Pro	chrfpp	spm32k	54.0661	53.9650	-0.1011
en-cs	Gemini-1.5-Pro	bleu	spm64k	35.5170	35.4478	-0.0692
en-cs	Gemini-1.5-Pro	chrfpp	spm64k	54.0661	53.9549	-0.1113
en-cs	Gemini-1.5-Pro	bleu	spm128k	35.5170	35.4608	-0.0561
en-cs	Gemini-1.5-Pro	chrfpp	spm128k	54.0661	53.9863	-0.0799
en-cs	Gemini-1.5-Pro	bleu	spm256k	35.5170	35.4655	-0.0515
en-cs	Gemini-1.5-Pro	chrfpp	spm256k	54.0661	53.9852	-0.0810
en-cs	Mistral-Large	bleu	none	32.4369	32.2144	-0.2225
en-cs	Mistral-Large	chrfpp	none	50.4930	50.2051	-0.2878
en-cs	Mistral-Large	bleu	flores200	32.4369	32.3607	-0.0762
en-cs	Mistral-Large	chrfpp	flores200	50.4930	50.3846	-0.1084
en-cs	Mistral-Large	bleu	spm32k	32.4369	32.3694	-0.0675
en-cs	Mistral-Large	chrfpp	spm32k	50.4930	50.4028	-0.0901
en-cs	Mistral-Large	bleu	spm64k	32.4369	32.3574	-0.0795
en-cs	Mistral-Large	chrfpp	spm64k	50.4930	50.3919	-0.1010
en-cs	Mistral-Large	bleu	spm128k	32.4369	32.3702	-0.0667
en-cs	Mistral-Large	chrfpp	spm128k	50.4930	50.4105	-0.0825
en-cs	Mistral-Large	bleu	spm256k	32.4369	32.3714	-0.0655
en-cs	Mistral-Large	chrfpp	spm256k	50.4930	50.3886	-0.1044
en-cs	Claude-3.5	bleu	none	40.2193	40.0345	-0.1848
en-cs	Claude-3.5	chrfpp	none	56.1445	55.9291	-0.2154
en-cs	Claude-3.5	bleu	flores200	40.2193	40.1492	-0.0701
en-cs	Claude-3.5	chrfpp	flores200	56.1445	56.0663	-0.0782
en-cs	Claude-3.5	bleu	spm32k	40.2193	40.1230	-0.0963
en-cs	Claude-3.5	chrfpp	spm32k	56.1445	56.0453	-0.0992
en-cs	Claude-3.5	bleu	spm64k	40.2193	40.1155	-0.1038
en-cs	Claude-3.5	chrfpp	spm64k	56.1445	56.0477	-0.0968
en-cs	Claude-3.5	bleu	spm128k	40.2193	40.1324	-0.0869
en-cs	Claude-3.5	chrfpp	spm128k	56.1445	56.0279	-0.1166
en-cs	Claude-3.5	bleu	spm256k	40.2193	40.1400	-0.0792
en-cs	Claude-3.5	chrfpp	spm256k	56.1445	56.0437	-0.1009
en-cs	GPT-4	bleu	none	35.8610	35.6801	-0.1808
en-cs	GPT-4	chrfpp	none	53.3038	53.0574	-0.2464
en-cs	GPT-4	bleu	flores200	35.8610	35.7756	-0.0853
en-cs	GPT-4	chrfpp	flores200	53.3038	53.1918	-0.1121
en-cs	GPT-4	bleu	spm32k	35.8610	35.7929	-0.0680
en-cs	GPT-4	chrfpp	spm32k	53.3038	53.2222	-0.0816
en-cs	GPT-4	bleu	spm64k	35.8610	35.7564	-0.1045
en-cs	GPT-4	chrfpp	spm64k	53.3038	53.2087	-0.0952
en-cs	GPT-4	bleu	spm128k	35.8610	35.7882	-0.0728
en-cs	GPT-4	chrfpp	spm128k	53.3038	53.2155	-0.0883
en-cs	GPT-4	bleu	spm256k	35.8610	35.8014	-0.0595
en-cs	GPT-4	chrfpp	spm256k	53.3038	53.2124	-0.0914
en-cs	Phi-3-Medium	bleu	none	13.7131	13.2376	-0.4755
en-cs	Phi-3-Medium	chrfpp	none	35.0046	34.3111	-0.6934
en-cs	Phi-3-Medium	bleu	flores200	13.7131	13.6018	-0.1113
en-cs	Phi-3-Medium	chrfpp	flores200	35.0046	34.7832	-0.2213
en-cs	Phi-3-Medium	bleu	spm32k	13.7131	13.5699	-0.1432
en-cs	Phi-3-Medium	chrfpp	spm32k	35.0046	34.7763	-0.2283
en-cs	Phi-3-Medium	bleu	spm64k	13.7131	13.5730	-0.1401
en-cs	Phi-3-Medium	chrfpp	spm64k	35.0046	34.7932	-0.2114
en-cs	Phi-3-Medium	bleu	spm128k	13.7131	13.5481	-0.1649
en-cs	Phi-3-Medium	chrfpp	spm128k	35.0046	34.7347	-0.2699
en-cs	Phi-3-Medium	bleu	spm256k	13.7131	13.5925	-0.1206
en-cs	Phi-3-Medium	chrfpp	spm256k	35.0046	34.7742	-0.2304
