langpair	system	metric	segmenter	manual	realigned	delta
en-uk	Claude-3.5	bleu	flores200	39.0039	38.9455	-0.0584
en-uk	Claude-3.5	chrfpp	flores200	55.6295	55.5596	-0.0699
en-uk	Claude-3.5	bleu	spm32k	39.0039	38.9668	-0.0372
en-uk	Claude-3.5	chrfpp	spm32k	55.6295	55.5674	-0.0622
en-uk	Claude-3.5	bleu	spm64k	39.0039	38.9763	-0.0276
en-uk	Claude-3.5	chrfpp	spm64k	55.6295	55.5862	-0.0433
en-uk	Claude-3.5	bleu	spm128k	39.0039	38.9676	-0.0363
en-uk	Claude-3.5	chrfpp	spm128k	55.6295	55.5695	-0.0601
en-uk	Claude-3.5	bleu	spm256k	39.0039	38.9558	-0.0481
en-uk	Claude-3.5	chrfpp	spm256k	55.6295	55.5690	-0.0605
en-uk	GPT-4	bleu	none	33.4935	33.3237	-0.1698
en-uk	GPT-4	chrfpp	none	52.2753	52.0371	-0.2381
en-uk	GPT-4	bleu	flores200	33.4935	33.4541	-0.0393
en-uk	GPT-4	chrfpp	flores200	52.2753	52.2064	-0.0688
en-uk	GPT-4	bleu	spm32k	33.4935	33.4566	-0.0369
en-uk	GPT-4	chrfpp	spm32k	52.2753	52.2087	-0.0666
en-uk	GPT-4	bleu	spm64k	33.4935	33.4635	-0.0300
en-uk	GPT-4	chrfpp	spm64k	52.2753	52.2223	-0.0530
en-uk	GPT-4	bleu	spm128k	33.4935	33.4472	-0.0463
en-uk	GPT-4	chrfpp	spm128k	52.2753	52.2068	-0.0684
en-uk	GPT-4	bleu	spm256k	33.4935	33.4546	-0.0389
en-uk	GPT-4	chrfpp	spm256k	52.2753	52.2115	-0.0638
en-uk	Phi-3-Medium	bleu	none	12.0377	11.6149	-0.4227
en-uk	Phi-3-Medium	chrfpp	none	32.6982	32.1138	-0.5844
en-uk	Phi-3-Medium	bleu	flores200	12.0377	11.9499	-0.0877
en-uk	Phi-3-Medium	chrfpp	flores200	32.6982	32.5590	-0.1393
en-uk	Phi-3-Medium	bleu	spm32k	12.0377	11.9361	-0.1015
en-uk	Phi-3-Medium	chrfpp	spm32k	32.6982	32.5497	-0.1485
en-uk	Phi-3-Medium	bleu	spm64k	12.0377	11.9211	-0.1165
en-uk	Phi-3-Medium	chrfpp	spm64k	32.6982	32.5503	-0.1480
en-uk	Phi-3-Medium	bleu	spm128k	12.0377	11.8918	-0.1459
en-uk	Phi-3-Medium	chrfpp	spm128k	32.6982	32.4245	-0.2737
en-uk	Phi-3-Medium	bleu	spm256k	12.0377	11.9286	-0.1091
en-uk	Phi-3-Medium	chrfpp	spm256k	32.6982	32.5105	-0.1877
