langpair	system	metric	segmenter	manual	realigned	delta
en-ja	ONLINE-W	chrfpp	none	32.8026	15.9071	-16.8955
en-ja	ONLINE-W	bleu	flores200	27.1133	27.0889	-0.0245
en-ja	ONLINE-W	chrfpp	flores200	32.8026	32.3391	-0.4635
en-ja	ONLINE-W	bleu	spm32k	27.1133	27.0998	-0.0135
en-ja	ONLINE-W	chrfpp	spm32k	32.8026	32.7424	-0.0602
en-ja	ONLINE-W	bleu	spm64k	27.1133	27.0991	-0.0143
en-ja	ONLINE-W	chrfpp	spm64k	32.8026	32.7426	-0.0600
en-ja	ONLINE-W	bleu	spm128k	27.1133	27.0972	-0.0161
en-ja	ONLINE-W	chrfpp	spm128k	32.8026	32.7420	-0.0606
en-ja	ONLINE-W	bleu	spm256k	27.1133	27.1003	-0.0130
en-ja	ONLINE-W	chrfpp	spm256k	32.8026	32.7256	-0.0770
en-ja	ONLINE-B	bleu	none	26.5888	6.4134	-20.1754
en-ja	ONLINE-B	chrfpp	none	33.5246	12.5483	-20.9762
en-ja	ONLINE-B	bleu	flores200	26.5888	26.5798	-0.0090
en-ja	ONLINE-B	chrfpp	flores200	33.5246	33.2762	-0.2483
en-ja	ONLINE-B	bleu	spm32k	26.5888	26.5858	-0.0030
en-ja	ONLINE-B	chrfpp	spm32k	33.5246	33.5064	-0.0182
en-ja	ONLINE-B	bleu	spm64k	26.5888	26.5837	-0.0051
en-ja	ONLINE-B	chrfpp	spm64k	33.5246	33.5165	-0.0081
en-ja	ONLINE-B	bleu	spm128k	26.5888	26.5875	-0.0013
en-ja	ONLINE-B	chrfpp	spm128k	33.5246	33.5210	-0.0036
en-ja	ONLINE-B	bleu	spm256k	26.5888	26.5863	-0.0025
en-ja	ONLINE-B	chrfpp	spm256k	33.5246	33.5059	-0.0186
en-ja	Llama3-70B	bleu	none	19.6917	7.4927	-12.1989
en-ja	Llama3-70B	chrfpp	none	28.8318	15.2205	-13.6113
en-ja	Llama3-70B	bleu	flores200	19.6917	19.6866	-0.0050
en-ja	Llama3-70B	chrfpp	flores200	28.8318	28.5419	-0.2899
en-ja	Llama3-70B	bleu	spm32k	19.6917	19.6836	-0.0080
en-ja	Llama3-70B	chrfpp	spm32k	28.8318	28.8287	-0.0031
en-ja	Llama3-70B	bleu	spm64k	19.6917	19.6879	-0.0037
en-ja	Llama3-70B	chrfpp	spm64k	28.8318	28.8557	0.0238
en-ja	Llama3-70B	bleu	spm128k	19.6917	19.6791	-0.0125
en-ja	Llama3-70B	chrfpp	spm128k	28.8318	28.8324	0.0006
en-ja	Llama3-70B	bleu	spm256k	19.6917	19.6805	-0.0112
en-ja	Llama3-70B	chrfpp	spm256k	28.8318	28.6750	-0.1568
en-ja	ONLINE-A	bleu	none	25.2815	6.1317	-19.1498
en-ja	ONLINE-A	chrfpp	none	34.1201	15.3163	-18.8037
en-ja	ONLINE-A	bleu	flores200	25.2815	25.2806	-0.0009
en-ja	ONLINE-A	chrfpp	flores200	34.1201	34.0533	-0.0668
en-ja	ONLINE-A	bleu	spm32k	25.2815	25.2815	0.0000
en-ja	ONLINE-A	chrfpp	spm32k	34.1201	34.1312	0.0111
en-ja	ONLINE-A	bleu	spm64k	25.2815	25.2792	-0.0023
en-ja	ONLINE-A	chrfpp	spm64k	34.1201	34.1268	0.0067
en-ja	ONLINE-A	bleu	spm128k	25.2815	25.2767	-0.0048
en-ja	ONLINE-A	chrfpp	spm128k	34.1201	34.1255	0.0055
en-ja	ONLINE-A	bleu	spm256k	25.2815	25.2810	-0.0005
en-ja	ONLINE-A	chrfpp	spm256k	34.1201	34.1044	-0.0156
en-ja	ONLINE-G	bleu	none	15.1609	1.8995	-13.2614
en-ja	ONLINE-G	chrfpp	none	23.0909	5.2027	-17.8882
en-ja	ONLINE-G	bleu	flores200	15.1609	15.1593	-0.0016
en-ja	ONLINE-G	chrfpp	flores200	23.0909	22.7879	-0.3030
en-ja	ONLINE-G	bleu	spm32k	15.1609	15.1561	-0.0047
en-ja	ONLINE-G	chrfpp	spm32k	23.0909	23.0803	-0.0106
en-ja	ONLINE-G	bleu	spm64k	15.1609	15.1558	-0.0051
en-ja	ONLINE-G	chrfpp	spm64k	23.0909	23.0810	-0.0098
en-ja	ONLINE-G	bleu	spm128k	15.1609	15.1480	-0.0128
en-ja	ONLINE-G	chrfpp	spm128k	23.0909	23.0732	-0.0177
en-ja	ONLINE-G	bleu	spm256k	15.1609	15.1407	-0.0202
en-ja	ONLINE-G	chrfpp	spm256k	23.0909	23.0660	-0.0249
en-ja	Gemini-1.5-Pro	bleu	none	24.0570	5.5727	-18.4843
en-ja	Gemini-1.5-Pro	chrfpp	none	31.3576	11.4578	-19.8998
en-ja	Gemini-1.5-Pro	bleu	flores200	24.0570	24.0253	-0.0317
en-ja	Gemini-1.5-Pro	chrfpp	flores200	31.3576	30.9078	-0.4498
en-ja	Gemini-1.5-Pro	bleu	spm32k	24.0570	24.0442	-0.0128
en-ja	Gemini-1.5-Pro	chrfpp	spm32k	31.3576	31.2969	-0.0607
en-ja	Gemini-1.5-Pro	bleu	spm64k	24.0570	24.0362	-0.0208
en-ja	Gemini-1.5-Pro	chrfpp	spm64k	31.3576	31.3162	-0.0414
en-ja	Gemini-1.5-Pro	bleu	spm128k	24.0570	24.0397	-0.0173
en-ja	Gemini-1.5-Pro	chrfpp	spm128k	31.3576	31.3671	0.0095
en-ja	Gemini-1.5-Pro	bleu	spm256k	24.0570	24.0371	-0.0199
en-ja	Gemini-1.5-Pro	chrfpp	spm256k	31.3576	31.3434	-0.0141
en-ja	Mistral-Large	bleu	none	16.9367	7.0581	-9.8786
en-ja	Mistral-Large	chrfpp	none	27.3224	15.5360	-11.7864
en-ja	Mistral-Large	bleu	flores200	16.9367	16.9298	-0.0069
en-ja	Mistral-Large	chrfpp	flores200	27.3224	27.0910	-0.2314
en-ja	Mistral-Large	bleu	spm32k	16.9367	16.9308	-0.0059
en-ja	Mistral-Large	chrfpp	spm32k	27.3224	27.3267	0.0043
en-ja	Mistral-Large	bleu	spm64k	16.9367	16.9341	-0.0026
en-ja	Mistral-Large	chrfpp	spm64k	27.3224	27.3398	0.0173
en-ja	Mistral-Large	bleu	spm128k	16.9367	16.9320	-0.0048
en-ja	Mistral-Large	chrfpp	spm128k	27.3224	27.3495	0.0271
en-ja	Mistral-Large	bleu	spm256k	16.9367	16.9338	-0.0029
en-ja	Mistral-Large	chrfpp	spm256k	27.3224	27.3438	0.0213
en-ja	Claude-3.5	bleu	none	26.7950	7.0774	-19.7176
en-ja	Claude-3.5	chrfpp	none	33.5953	13.8765	-19.7188
en-ja	Claude-3.5	bleu	flores200	26.7950	26.7897	-0.0053
en-ja	Claude-3.5	chrfpp	flores200	33.5953	33.1984	-0.3969
en-ja	Claude-3.5	bleu	spm32k	26.7950	26.7884	-0.0066
en-ja	Claude-3.5	chrfpp	spm32k	33.5953	33.5582	-0.0371
en-ja	Claude-3.5	bleu	spm64k	26.7950	26.7753	-0.0197
en-ja	Claude-3.5	chrfpp	spm64k	33.5953	33.5974	0.0021
en-ja	Claude-3.5	bleu	spm128k	26.7950	26.7718	-0.0232
en-ja	Claude-3.5	chrfpp	spm128k	33.5953	33.5867	-0.0086
en-ja	Claude-3.5	bleu	spm256k	26.7950	26.7598	-0.0352
en-ja	Claude-3.5	chrfpp	spm256k	33.5953	33.4966	-0.0987
en-ja	GPT-4	bleu	none	23.5294	9.8787	-13.6507
en-ja	GPT-4	chrfpp	none	31.9832	17.3094	-14.6737
en-ja	GPT-4	bleu	flores200	23.5294	23.5244	-0.0050
en-ja	GPT-4	chrfpp	flores200	31.9832	31.5968	-0.3864
en-ja	GPT-4	bleu	spm32k	23.5294	23.5229	-0.0065
en-ja	GPT-4	chrfpp	spm32k	31.9832	31.9768	-0.0064
en-ja	GPT-4	bleu	spm64k	23.5294	23.5220	-0.0074
en-ja	GPT-4	chrfpp	spm64k	31.9832	31.9858	0.0026
en-ja	GPT-4	bleu	spm128k	23.5294	23.5220	-0.0074
en-ja	GPT-4	chrfpp	spm128k	31.9832	31.9858	0.0026
en-ja	GPT-4	bleu	spm256k	23.5294	23.5218	-0.0076
en-ja	GPT-4	chrfpp	spm256k	31.9832	31.9737	-0.0094
en-ja	Phi-3-Medium	bleu	none	18.7558	5.6038	-13.1520
en-ja	Phi-3-Medium	chrfpp	none	28.8814	14.1458	-14.7356
en-ja	Phi-3-Medium	bleu	flores200	18.7558	18.7422	-0.0137
en-ja	Phi-3-Medium	chrfpp	flores200	28.8814	28.6669	-0.2145
en-ja	Phi-3-Medium	bleu	spm32k	18.7558	18.7499	-0.0060
en-ja	Phi-3-Medium	chrfpp	spm32k	28.8814	28.8808	-0.0006
en-ja	Phi-3-Medium	bleu	spm64k	18.7558	18.7480	-0.0078
en-ja	Phi-3-Medium	chrfpp	spm64k	28.8814	28.8814	-0.0001
en-ja	Phi-3-Medium	bleu	spm128k	18.7558	18.7480	-0.0078
en-ja	Phi-3-Medium	chrfpp	spm128k	28.8814	28.8829	0.0015
en-ja	Phi-3-Medium	bleu	spm256k	18.7558	18.7442	-0.0116
en-ja	Phi-3-Medium	chrfpp	spm256k	28.8814	28.8559	-0.0255
